Word,Transliteration,Transcription
urn:cite:oldpersian:orth.form51,pa-ra,para
urn:cite:oldpersian:orth.form56,pa-ra-tha-va,Parϑava
urn:cite:oldpersian:orth.form52,pa-a-ra-sa,Pārsa
urn:cite:oldpersian:orth.form53,pa-a-ra-sa-a,Pārsā
urn:cite:oldpersian:orth.form53,pa-a-ra-sa-i-ya,
urn:cite:oldpersian:orth.form54,pa-a-ra-sa-ma,Pārsam
urn:cite:oldpersian:orth.form57,pa-a-ta,pāta
urn:cite:oldpersian:orth.form132,pa-i-ta-a,
urn:cite:oldpersian:orth.form152,pa-ra-a-ba-ra-ta-ma,
urn:cite:oldpersian:orth.form55,pa-ru-u-na-a-ma,parūnām
urn:cite:oldpersian:orth.form116,pa-ru-u-va,paruv
urn:cite:oldpersian:orth.form166,pa-ru-u-va-ma,
urn:cite:oldpersian:orth.form138,pa-ru-u-vi-i-ya-ta,
urn:cite:oldpersian:orth.form95,pa-sa-a-va,pasāva
urn:cite:oldpersian:orth.form153,pa-ta-i-ya-a-ba-ra-ma,
urn:cite:oldpersian:orth.form171,pa-ta-i-ya-a-i-sha,
urn:cite:oldpersian:orth.form58,pa-u-sra,puça
urn:cite:oldpersian:orth.form182,ra-u-ca-ba-i-sha,
urn:cite:oldpersian:orth.form191,ra-u-ca-pa-ta-i-va-a,
urn:cite:oldpersian:orth.form59,sa-ka-a,Sakā
urn:cite:oldpersian:orth.form187,sa-ka,
urn:cite:oldpersian:orth.form61,sa-pa-ra-da,Sparda
urn:cite:oldpersian:orth.form62,sa-u-gu-da,Suguda
urn:cite:oldpersian:orth.form186,sa-u-gu-u-da,
urn:cite:oldpersian:orth.form113,sha-i-ya-a-ta-i-ma,šiyātim
urn:cite:oldpersian:orth.form60,sha-i-ya-a-ta-i-sha,šiyātiš
urn:cite:oldpersian:orth.form63,ta-ra-sa-ma,tarsam
urn:cite:oldpersian:orth.form141,ta-u-ma-a,
urn:cite:oldpersian:orth.form165,ta-u-ma-a-ya-a,
